Name,Elevation (m)
Sattelköpfle,2021
Kleiner Hundsstallkopf,2338
Hirschbichlkopf,2276
Untere Wettersteinspitze,2151
Predigtstuhl,2004
Teufelskopf,2440
Kirchlespitze,2301
Laufbichelkirche,2042
Auf dem Falken,2088
Schafberg,2264
Unknown,2052
Schänzlespitz,2052
Unknown,2176
Mittlere Balkenspitze,2315
Unknown,2159
Unknown,2014
Unknown,2218
Unknown,2150
Unknown,2127
Unknown,2184
Unknown,2177
Unknown,2186
Unknown,2194
Unknown,2214
Unknown,2032
Unknown,2379
Unknown,2336
Unknown,2393
Himmelhorn,2111
Unknown,2291
Unknown,2289
Unknown,2023
Höfats Westgipfel,2257
Unknown,2330
Gratkopf,2172
Alpkopf,2102
Teufelsgrat,2648
Oberreintaldom,2371
Unterer Schüsselkarturm,2135
Nördliche Balkenspitze,2270
Krottenspitze,2551
Krummenstein,2088
Unknown,2005
Unknown,2120
Saubuckelkopf,2215
Östlicher Berg der guten Hoffnung,2415
Unknown,2072
Auf dem Hohen Bichel,2131
Großer Daumen Ostgipfel,2273
Unknown,2530
Sonnenberg,2029
Unknown,2035
Unknown,2270
Höhlenkopf,2403
Unknown,2782
Unknown,2041
Unknown,2066
Unknown,2010
Unknown,2222
Unknown,2625
Unknown,2191
Kreuzspitze,2184
